001,STRAWBERRY SYRUP,SYRUP BASE,400,STRAWBERRY,,
002,STRAWBERRY SOAP,BUBBLE BASE,420,STRAWBERRY,,
003,STRAWBERRY PERFUME,PERFUME BASE,900,STRAWBERRY,,
004,STRAWBERRY LATTE,MILK BASE,400,STRAWBERRY,,
005,STRAWBERRY LOTION,LOTION BASE,600,STRAWBERRY,,
006,ORANGE SYRUP,SYRUP BASE,260,ORANGE,,
007,ORANGE SOAP,BUBBLE BASE,325,ORANGE,,
008,ORANGE PERFUME,PERFUME BASE,675,ORANGE,,
009,ORANGE LATTE,MILK BASE,300,ORANGE,,
010,ORANGE LOTION,LOTION BASE,475,ORANGE,,
011,LEMON SYRUP,SYRUP BASE,200,LEMON,,
012,LEMON SOAP,BUBBLE BASE,260,LEMON,,
013,LEMON PERFUME,PERFUME BASE,600,LEMON,,
014,LEMON LATTE,MILK BASE,220,LEMON,,
015,LEMON LOTION,LOTION BASE,400,LEMON,,
016,BANANA SYRUP,SYRUP BASE,250,BANANA,,
017,BANANA SOAP,BUBBLE BASE,310,BANANA,,
018,BANANA PERFUME,PERFUME BASE,655,BANANA,,
019,BANANA LATTE,MILK BASE,400,BANANA,,
020,BANANA LOTION,LOTION BASE,455,BANANA,,
021,MANGO SYRUP,SYRUP BASE,280,MANGO,,
022,MANGO SOAP,BUBBLE BASE,345,MANGO,,
023,MANGO PERFUME,PERFUME BASE,900,MANGO,,
024,MANGO LATTE,MILK BASE,350,MANGO,,
025,MANGO LOTION,LOTION BASE,500,MANGO,,
026,PINEAPPLE SYRUP,SYRUP BASE,590,PINEAPPLE,,
027,PINEAPPLE SOAP,BUBBLE BASE,640,PINEAPPLE,,
028,PINEAPPLE PERFUME,PERFUME BASE,990,PINEAPPLE,,
029,PINEAPPLE LATTE,MILK BASE,600,PINEAPPLE,,
030,PINEAPPLE LOTION,LOTION BASE,785,PINEAPPLE,,
031,KIWI SYRUP,SYRUP BASE,500,KIWI,,
032,KIWI SOAP,BUBBLE BASE,575,KIWI,,
033,KIWI PERFUME,PERFUME BASE,990,KIWI,,
034,KIWI LATTE,MILK BASE,535,KIWI,,
035,KIWI LOTION,LOTION BASE,715,KIWI,,
036,BLUEBERRY SYRUP,SYRUP BASE,340,BLUEBERRY,,
037,BLUEBERRY SOAP,BUBBLE BASE,450,BLUEBERRY,,
038,BLUEBERRY PERFUME,PERFUME BASE,745,BLUEBERRY,,
039,BLUEBERRY LATTE,MILK BASE,365,BLUEBERRY,,
040,BLUEBERRY LOTION,LOTION BASE,555,BLUEBERRY,,
041,COCONUT SYRUP,SYRUP BASE,470,COCONUT,,
042,COCONUT SOAP,BUBBLE BASE,535,COCONUT,,
043,COCONUT PERFUME,PERFUME BASE,890,COCONUT,,
044,COCONUT LATTE,MILK BASE,495,COCONUT,,
045,COCONUT LOTION,LOTION BASE,665,COCONUT,,
046,SUNBLUSH SOAP,BUBBLE BASE,585,STRAWBERRY,ORANGE,
047,SUNBLUSH LOTION,LOTION BASE,715,STRAWBERRY,ORANGE,
048,PINK JUNGLE LOTION,LOTION BASE,750,STRAWBERRY,BANANA,
049,ISLAND KISS SOAP,BUBBLE BASE,595,STRAWBERRY,MANGO,
050,ISLAND KISS PERFUME,PERFUME BASE,1000,STRAWBERRY,MANGO,
051,ISLAND KISS LOTION,LOTION BASE,750,STRAWBERRY,MANGO,
052,STARSPLASH SOAP,BUBBLE BASE,905,STRAWBERRY,PINEAPPLE,
053,EMERALD BREEZE SOAP,BUBBLE BASE,900,STRAWBERRY,KIWI,
054,EMERALD BREEZE LOTION,LOTION BASE,995,STRAWBERRY,KIWI,
055,MIXED BERRY SYRUP,SYRUP BASE,605,STRAWBERRY,BLUEBERRY,
056,MIXED BERRY SOAP,BUBBLE BASE,665,STRAWBERRY,BLUEBERRY,
057,MIXED BERRY PERFUME,PERFUME BASE,1250,STRAWBERRY,BLUEBERRY,
058,MIXED BERRY LATTE,MILK BASE,645,STRAWBERRY,BLUEBERRY,
059,MIXED BERRY LOTION,LOTION BASE,845,STRAWBERRY,BLUEBERRY,
060,PINK SANDBAR SYRUP,SYRUP BASE,715,STRAWBERRY,COCONUT,
061,PINK SANDBAR SOAP,BUBBLE BASE,775,STRAWBERRY,COCONUT,
062,PINK SANDBAR PERFUME,PERFUME BASE,1250,STRAWBERRY,COCONUT,
063,PINK SANDBAR LATTE,MILK BASE,765,STRAWBERRY,COCONUT,
064,PINK SANDBAR LOTION,LOTION BASE,955,STRAWBERRY,COCONUT,
065,ZESTBURST SYRUP,SYRUP BASE,375,ORANGE,LEMON,
066,ZESTBURST SOAP,BUBBLE BASE,420,ORANGE,LEMON,
067,SUNSET SYRUP,SYRUP BASE,470,ORANGE,MANGO,
068,SUNSET SOAP,BUBBLE BASE,510,ORANGE,MANGO,
069,SUNSET PERFUME,PERFUME BASE,890,ORANGE,MANGO,
070,SUNSET LOTION,LOTION BASE,660,ORANGE,MANGO,
071,SUNRISE SYRUP,SYRUP BASE,755,ORANGE,PINEAPPLE,
072,SUNRISE SOAP,BUBBLE BASE,815,ORANGE,PINEAPPLE,
073,SUNRISE PERFUME,PERFUME BASE,1150,ORANGE,PINEAPPLE,
074,SUNRISE LOTION,LOTION BASE,940,ORANGE,PINEAPPLE,
075,SEA SPARKLE SOAP,BUBBLE BASE,620,LEMON,COCONUT,
076,JUNGLE CREAM LATTE,MILK BASE,670,BANANA,COCONUT,
077,JUNGLE CREAM LOTION,LOTION BASE,820,BANANA,COCONUT,
078,PACIFIC SYRUP,SYRUP BASE,795,MANGO,PINEAPPLE,
079,PACIFIC SOAP,BUBBLE BASE,835,MANGO,PINEAPPLE,
080,PACIFIC PERFUME,PERFUME BASE,1250,MANGO,PINEAPPLE,
081,PACIFIC LATTE,MILK BASE,800,MANGO,PINEAPPLE,
082,PACIFIC LOTION,LOTION BASE,990,MANGO,PINEAPPLE,
083,BORACAY SYRUP,SYRUP BASE,665,MANGO,COCONUT,
084,BORACAY SOAP,BUBBLE BASE,725,MANGO,COCONUT,
085,BORACAY PERFUME,PERFUME BASE,1250,MANGO,COCONUT,
086,BORACAY LATTE,MILK BASE,685,MANGO,COCONUT,
087,BORACAY LOTION,LOTION BASE,875,MANGO,COCONUT,
088,HAWAII SYRUP,SYRUP BASE,965,PINEAPPLE,COCONUT,
089,HAWAII SOAP,BUBBLE BASE,1050,PINEAPPLE,COCONUT,
090,HAWAII PERFUME,PERFUME BASE,1500,PINEAPPLE,COCONUT,
091,HAWAII LATTE,MILK BASE,1000,PINEAPPLE,COCONUT,
092,HAWAII LOTION,LOTION BASE,1175,PINEAPPLE,COCONUT,
093,LUSH ISLAND SOAP,BUBBLE BASE,945,KIWI,COCONUT,
094,LUSH ISLAND LATTE,MILK BASE,895,KIWI,COCONUT,
095,LUSH ISLAND LOTION,LOTION BASE,1065,KIWI,COCONUT,
096,BLUE MOON LATTE,MILK BASE,745,BLUEBERRY,COCONUT,
097,BLUE MOON LOTION,LOTION BASE,935,BLUEBERRY,COCONUT,
098,ISLAND SPLASH SOAP,BUBBLE BASE,765,STRAWBERRY,ORANGE,MANGO
099,ISLAND SPLASH PERFUME,PERFUME BASE,1150,STRAWBERRY,ORANGE,MANGO
100,ISLAND SPLASH LOTION,LOTION BASE,905,STRAWBERRY,ORANGE,MANGO
101,JUNGLE TWILIGHT SOAP,BUBBLE BASE,1190,STRAWBERRY,MANGO,PINEAPPLE
102,JUNGLE TWILIGHT PERFUME,PERFUME BASE,1450,STRAWBERRY,MANGO,PINEAPPLE
103,JUNGLE TWILIGHT LOTION,LOTION BASE,1225,STRAWBERRY,MANGO,PINEAPPLE
104,HIDDEN PARADISE SOAP,BUBBLE BASE,980,STRAWBERRY,MANGO,COCONUT
105,HIDDEN PARADISE PERFUME,PERFUME BASE,1350,STRAWBERRY,MANGO,COCONUT
106,HIDDEN PARADISE LATTE,MILK BASE,930,STRAWBERRY,MANGO,COCONUT
107,HIDDEN PARADISE LOTION,LOTION BASE,1135,STRAWBERRY,MANGO,COCONUT
108,PINKTIDE RESORT SOAP,BUBBLE BASE,1265,STRAWBERRY,PINEAPPLE,COCONUT
109,PINKTIDE RESORT PERFUME,PERFUME BASE,1600,STRAWBERRY,PINEAPPLE,COCONUT
110,PINKTIDE RESORT LOTION,LOTION BASE,1450,STRAWBERRY,PINEAPPLE,COCONUT
111,CLOUD JUNGLE LOTION,LOTION BASE,1315,STRAWBERRY,KIWI,COCONUT
112,PASTEL CREAM LATTE,MILK BASE,800,STRAWBERRY,BANANA,BLUEBERRY
113,ETERNAL SUN SOAP,BUBBLE BASE,1000,ORANGE,MANGO,PINEAPPLE
114,ETERNAL SUN PERFUME,PERFUME BASE,1350,ORANGE,MANGO,PINEAPPLE
115,ETERNAL SUN LOTION,LOTION BASE,1130,ORANGE,MANGO,PINEAPPLE
116,SUNSET PARADISE SYRUP,SYRUP BASE,840,ORANGE,MANGO,COCONUT
117,SUNSET PARADISE SOAP,BUBBLE BASE,880,ORANGE,MANGO,COCONUT
118,SUNRISE PARADISE SYRUP,SYRUP BASE,1140,ORANGE,PINEAPPLE,COCONUT
119,SUNRISE PARADISE SOAP,BUBBLE BASE,1190,ORANGE,PINEAPPLE,COCONUT
120,MONKEY MAYHEM LATTE,MILK BASE,1005,BANANA,MANGO,PINEAPPLE
121,MONKEY PARTY LATTE,MILK BASE,965,BANANA,MANGO,COCONUT
122,MONKEY BUSINESS LATTE,MILK BASE,1135,BANANA,PINEAPPLE,COCONUT
123,TROPICAL DREAM SYRUP,SYRUP BASE,1200,MANGO,PINEAPPLE,COCONUT
124,TROPICAL DREAM SOAP,BUBBLE BASE,1300,MANGO,PINEAPPLE,COCONUT
125,TROPICAL DREAM PERFUME,PERFUME BASE,1600,MANGO,PINEAPPLE,COCONUT
126,TROPICAL DREAM LATTE,MILK BASE,1200,MANGO,PINEAPPLE,COCONUT
127,TROPICAL DREAM LOTION,LOTION BASE,1400,MANGO,PINEAPPLE,COCONUT
128,EMERALD BEACH SOAP,BUBBLE BASE,1125,MANGO,KIWI,COCONUT
129,EMERALD BEACH LATTE,MILK BASE,1190,MANGO,KIWI,COCONUT
130,EMERALD BEACH LOTION,LOTION BASE,1275,MANGO,KIWI,COCONUT
